iter	Passed	Remaining
641	1827	1019
642	1841	1022
643	1844	1019
644	1847	1016
645	1855	1016
646	1859	1014
647	1863	1012
648	1866	1009
649	1870	1007
650	1873	1004
651	1878	1002
652	1882	1000
653	1885	997
654	1894	997
655	1905	998
656	1919	1001
657	1939	1007
658	1951	1009
659	1965	1012
660	1972	1011
661	1984	1013
662	1989	1011
663	1997	1010
664	2002	1008
665	2013	1010
666	2022	1009
667	2029	1008
668	2033	1006
669	2043	1006
670	2050	1005
671	2057	1004
672	2065	1003
673	2075	1003
674	2087	1004
675	2096	1004
676	2104	1004
677	2113	1003
678	2121	1003
679	2127	1001
680	2133	999
681	2138	997
682	2142	994
683	2150	993
684	2154	990
685	2160	988
686	2163	985
687	2167	982
688	2171	980
689	2179	978
690	2182	975
691	2186	973
692	2195	972
693	2198	969
694	2202	966
695	2210	965
696	2214	962
697	2220	960
698	2225	958
699	2228	955
700	2231	952
701	2238	950
702	2242	947
703	2245	944
704	2253	942
705	2256	939
706	2260	936
707	2263	933
708	2268	931
709	2271	927
710	2274	924
711	2278	921
712	2285	920
713	2288	916
714	2291	913
715	2294	910
716	2302	908
717	2306	905
718	2309	902
719	2314	899
720	2316	896
721	2319	893
722	2321	889
723	2325	886
724	2329	883
725	2333	880
726	2337	877
727	2340	874
728	2343	871
729	2348	868
730	2353	866
731	2357	863
732	2360	859
733	2363	856
734	2366	853
735	2371	850
736	2374	847
737	2378	844
738	2384	842
739	2390	839
740	2393	836
741	2396	833
742	2402	830
743	2405	827
744	2407	824
745	2410	820
746	2413	817
747	2419	815
748	2425	812
749	2447	815
750	2450	812
751	2454	809
752	2457	805
753	2461	803
754	2465	800
755	2468	796
756	2473	793
757	2478	791
758	2483	788
759	2487	785
760	2493	783
761	2497	780
762	2501	776
763	2507	774
764	2510	771
765	2513	767
766	2517	764
767	2521	761
768	2525	758
769	2528	755
770	2531	752
771	2539	749
772	2561	752
773	2565	749
774	2571	746
775	2580	744
776	2592	744
777	2598	741
778	2605	739
779	2608	735
780	2612	732
781	2617	729
782	2623	726
783	2627	723
784	2635	721
785	2645	720
786	2657	719
787	2666	717
788	2669	713
789	2673	710
790	2682	708
791	2688	705
792	2693	703
793	2696	699
794	2698	695
795	2702	692
796	2708	689
797	2712	686
798	2717	683
799	2723	680
800	2728	677
801	2730	674
802	2734	670
803	2739	667
804	2743	664
805	2748	661
806	2751	657
807	2755	654
808	2759	651
809	2763	648
810	2769	645
811	2771	641
812	2774	638
813	2777	634
814	2779	631
815	2784	627
816	2787	624
817	2791	621
818	2794	617
819	2799	614
820	2801	610
821	2805	607
822	2810	604
823	2815	601
824	2818	597
825	2823	594
826	2827	591
827	2830	587
828	2833	584
829	2844	582
830	2847	579
831	2857	577
832	2861	573
833	2865	570
834	2868	566
835	2877	564
836	2883	561
837	2890	558
838	2894	555
839	2897	551
840	2902	548
841	2906	545
842	2909	541
843	2914	538
844	2919	535
845	2922	531
846	2925	528
847	2929	525
848	2933	521
849	2935	518
850	2938	514
851	2942	511
852	2946	507
853	2949	504
854	2953	500
855	2957	497
856	2964	494
857	2967	491
858	2973	488
859	2978	484
860	2981	481
861	2983	477
862	2986	474
863	2992	471
864	2997	467
865	3001	464
866	3004	460
867	3008	457
868	3012	454
869	3017	450
870	3023	447
871	3027	444
872	3031	441
873	3035	437
874	3039	434
875	3042	430
876	3047	427
877	3050	423
878	3055	420
879	3058	417
880	3062	413
881	3067	410
882	3072	407
883	3076	403
884	3081	400
885	3086	397
886	3089	393
887	3094	390
888	3102	387
889	3106	383
890	3109	380
891	3113	377
892	3116	373
893	3119	369
894	3123	366
895	3129	363
896	3132	359
897	3135	356
898	3139	352
899	3143	349
900	3147	345
901	3152	342
902	3160	339
903	3164	336
904	3170	332
905	3182	330
906	3188	326
907	3191	323
908	3196	320
909	3206	317
910	3210	313
911	3215	310
912	3220	306
913	3223	303
914	3227	299
915	3231	296
916	3235	292
917	3238	289
918	3244	285
919	3249	282
920	3252	279
921	3256	275
922	3259	271
923	3267	268
924	3277	265
925	3283	262
926	3286	258
927	3295	255
928	3299	252
929	3301	248
930	3305	244
931	3312	241
932	3315	238
933	3321	234
934	3327	231
935	3331	227
936	3334	224
937	3337	220
938	3341	217
939	3343	213
940	3348	209
941	3352	206
942	3357	202
943	3361	199
944	3364	195
945	3368	192
946	3372	188
947	3375	185
948	3379	181
949	3390	178
950	3393	174
951	3403	171
952	3407	168
953	3411	164
954	3414	160
955	3419	157
956	3424	153
957	3431	150
958	3434	146
959	3438	143
960	3446	139
961	3452	136
962	3465	133
963	3468	129
964	3475	126
965	3480	122
966	3486	118
967	3495	115
968	3502	112
969	3508	108
970	3511	104
971	3516	101
972	3523	97
973	3527	94
974	3532	90
975	3538	87
976	3565	83
977	3570	80
978	3574	76
979	3578	73
980	3583	69
981	3588	65
982	3592	62
983	3598	58
984	3603	54
985	3606	51
986	3613	47
987	3617	43
988	3622	40
989	3630	36
990	3633	32
991	3637	29
992	3644	25
993	3649	22
994	3661	18
995	3664	14
996	3668	11
997	3676	7
998	3680	3
999	3685	0
